fecha;tipo;fondo;cuotapartes;valor_cp;tenencia;resultado
16/05/2020;Mercado de Dinero en pesos;Super Ahorro $;37342,4825;1,521094;56801,42;1023,07
16/05/2020;Renta Fija en Pesos;Supergestión MIX VI;9749,7144;7,837811;76416,41;1416,41
16/05/2020;;Superfondo Renta $;25925,9787;3,871297;100367,16;367,16
19/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,523371;41853,58;794,4
19/05/2020;Renta Fija en Pesos;Supergestión MIX VI;9749,7144;7,850807;76505,74;1505,74
19/05/2020;;Superfondo Renta $;25925,9787;3,925312;101046,96;1046,96
21/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,524004;41892,26;833,08
21/05/2020;Renta Fija en Pesos;Supergestión MIX VI;9749,7144;7,856128;76595;1595
21/05/2020;;Superfondo Renta $;25925,9787;3,9412;102179,46;2179,46
22/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,524647;41909,94;850,76
22/05/2020;Renta Fija en Pesos;Supergestión MIX VI;9749,7144;7,864983;76681,33;1681,33
22/05/2020;;Superfondo Renta $;25925,9787;3,952935;102483,7;2483,7
23/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,525295;41909,94;850,76
23/05/2020;Renta Fija en Pesos;Supergestión MIX VI;9749,7144;7,867209;76681,33;1681,33
23/05/2020;;Superfondo Renta $;25925,9787;3,975717;102483,7;2483,7
27/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,527919;41999,88;940,7
27/05/2020;Renta Fija en Pesos;Supergestión MIX VI;9749,7144;7,886647;76892,55;1892,55
27/05/2020;;Superfondo Renta $;25925,9787;4,037838;104684,9;4684,9
28/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,528592;42018,38;959,2
28/05/2020;Renta Fija en Pesos;Supergestión MIX VI;11648,8743;7,898229;92005,47;2005,47
28/05/2020;;Superfondo Renta $;34522,8026;4,071271;140551,68;5551,68
29/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,529275;42037,15;977,97
29/05/2020;Renta Fija en Pesos;Supergestión MIX VI;11647,7653;7,902844;92050,47;2050,47
29/05/2020;;Superfondo Renta $;34506,7361;4,078894;140749,3;5749,3
30/05/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,529982;42056,59;997,41
30/05/2020;Renta Fija en Pesos;Supergestión MIX VI;11647,7653;7,907684;92106,84;2106,84
30/05/2020;;Superfondo Renta $;34506,7361;4,065658;140292,58;5292,58
03/06/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,532764;42133,06;1073,88
03/06/2020;Renta Fija en Pesos;Supergestión MIX VI;11647,7653;7,930107;92368,01;2368,01
03/06/2020;;Superfondo Renta $;34506,7361;4,075144;140619,91;5619,91
04/06/2020;Mercado de Dinero en pesos;Super Ahorro $;27488,2913;1,533464;42152,3;1093,12
04/06/2020;Renta Fija en Pesos;Supergestión MIX VI;11647,7653;7,934824;92422,95;2422,95
04/06/2020;;Superfondo Renta $;34506,7361;4,074948;140613,15;5613,15
